time              , step, state, action, reward, load                , drops, epsilon, max_q
1766260858.9604864,    0,     0,      2, 20.0  ,      0              ,     0,   1.0  ,  0.0
1766260861.2652347,    1,     0,      2, 25.0  ,    915.2134587333521,     0,   0.995,  2.5
1766260863.568178 ,    2,     0,      2, 17.0  ,   2284.3117717566174,     0,   0.99 ,  4.175
1766260865.8745048,    3,     0,      3, 20.0  ,   1397.864022877703 ,     0,   0.985,  4.175
1766260868.1795523,    4,     0,      2, 17.0  ,   1883.0105320977354,     0,   0.98 ,  5.833
1766260870.483171 ,    5,     0,      3, 20.0  ,   1280.150596498348 ,     0,   0.975,  5.833
1766260872.7875195,    6,     0,      2, 17.0  ,   1882.3249432612292,     0,   0.97 ,  7.475
1766260875.0927293,    7,     0,      3, 20.0  ,   1254.0448479317042,     0,   0.966,  7.475
1766260877.3965557,    8,     0,      2, 20.0  ,   1884.5420088642409,     0,   0.961,  9.4
1766260879.701326 ,    9,     0,      0, 20.0  ,   1761.1437704392279,     0,   0.956,  9.4
1766260882.0066109,   10,     0,      1, 17.0  ,   2098.7123753063097,     0,   0.951,  9.4
1766260884.311306 ,   11,     0,      3, 20.0  ,   1218.2199627819168,     0,   0.946,  9.4
1766260886.614589 ,   12,     0,      0, 25.0  ,   1914.8095892444503,     0,   0.942,  9.4
1766260888.9162428,   13,     0,      0, 20.0  ,   1973.1391197907963,     0,   0.937,  9.4
1766260891.2202232,   14,     0,      2, 20.0  ,   1644.6993354225385,     0,   0.932, 11.306
1766260893.5231707,   15,     0,      0, 7.0   , 122138.48425412313  ,     0,   0.928, 11.306
1766260895.825264 ,   16,     1,      3, 0.0   , 587109.4710416641   ,     0,   0.923,  0.0
1766260898.126747 ,   17,     2,      3, -5.0  , 675797.9764240246   ,     0,   0.918,  0.0
1766260900.4288132,   18,     2,      2, 7.0   , 165734.06577055593  ,     0,   0.914,  0.7
1766260902.7314408,   19,     1,      3, 0.0   , 586097.3346312088   ,     0,   0.909,  0.063
1766260905.0445077,   20,     2,      3, -5.0  , 675331.7521751686   ,     0,   0.905,  0.7
1766260907.3487854,   21,     2,      2, 10.0  , 164854.47952063067  ,     0,   0.9  ,  1.636
1766260909.6539843,   22,     1,      0, 15.0  , 188124.1037643772   ,     0,   0.896,  1.506
1766260911.9555578,   23,     1,      0, 15.0  , 188822.68131952026  ,     0,   0.891,  2.991
1766260914.2579756,   24,     1,      0, 7.0   , 188148.16717224364  ,     0,   0.887,  3.661
1766260916.5599623,   25,     1,      3, -5.0  , 586340.5453512127   ,     0,   0.882,  3.661
1766260918.8654912,   26,     2,      2, 7.0   , 165208.40191816652  ,     0,   0.878,  2.502
1766260921.1712341,   27,     1,      3, -5.0  , 583324.5491661325   ,     0,   0.873,  3.661
1766260923.4738164,   28,     2,      1, 7.0   , 166442.04884712686  ,     0,   0.869,  2.502
1766260925.7793934,   29,     1,      3, -5.0  , 586242.1839589559   ,     0,   0.865,  3.661
1766260928.0879464,   30,     2,      1, 15.0  , 164451.98175225017  ,     0,   0.86 ,  2.756
1766260930.3935459,   31,     1,      1, 10.0  , 188281.94263214138  ,     0,   0.856,  3.661
1766260932.6990232,   32,     1,      0, 15.0  , 188579.3466189335   ,     0,   0.852,  5.124
1766260935.004607 ,   33,     1,      0, 15.0  , 187871.89972959593  ,     0,   0.848,  6.573
1766260937.3143446,   34,     1,      0, 10.0  , 188089.69345293046  ,     0,   0.843,  7.507
1766260939.6219368,   35,     1,      1, 10.0  , 189092.53766749325  ,     0,   0.839,  7.507
1766260941.9242926,   36,     1,      2, 7.0   , 188362.8894627416   ,     0,   0.835,  7.507
1766260944.2271206,   37,     1,      3, -5.0  , 586816.7596985277   ,     0,   0.831,  7.507
1766260946.5307739,   38,     2,      1, 15.0  , 164884.33976206774  ,     0,   0.827,  4.656
1766260948.832079 ,   39,     1,      1, 15.0  , 188170.39582512117  ,     0,   0.822,  7.507
1766260951.1347783,   40,     1,      1, 10.0  , 188167.6168292049   ,     0,   0.818,  7.507
1766260953.4395332,   41,     1,      0, 15.0  , 189337.60904234982  ,     0,   0.814,  8.932
1766260955.7410092,   42,     1,      0, 25.0  ,  82718.59059748918  ,     0,   0.81 , 11.556
1766260958.0429606,   43,     0,      0, 20.0  ,   1730.1032133910016,     0,   0.806, 11.306
1766260960.3480668,   44,     0,      2, 20.0  ,   1785.4171283334326,     0,   0.802, 13.193
1766260962.6511416,   45,     0,      1, 17.0  ,   1763.5399154027314,     0,   0.798, 13.193
1766260964.9555862,   46,     0,      3, 20.0  ,   1218.63996260974  ,     0,   0.794, 13.193
1766260967.2603812,   47,     0,      0, 20.0  ,   2196.7222778173705,     0,   0.79 , 13.193
1766260969.5638328,   48,     0,      1, 20.0  ,   1786.30997739247  ,     0,   0.786, 13.193
1766260971.8683274,   49,     0,      2, 20.0  ,   1771.7991887318651,     0,   0.782, 15.061
1766260974.17091  ,   50,     0,      1, 20.0  ,   1787.0884614082693,     0,   0.778, 15.061
1766260976.4757068,   51,     0,      2, 25.0  ,   1762.530652476981 ,     0,   0.774, 17.411
